beta,delta_r,g_q,g_q_tilde,D_Q,w1_dist,lipschitz_99pct,shift_penalty_99pct,bound_99pct,bound_holds
0.5,0.0015999999999999348,0.01849999999999996,0.0041999999999999815,0.062000000000000055,1.3142899921465192,0.6954895704930086,0.9140749821412424,0.9987749821412424,True
0.65,0.0027000000000000357,0.0010999999999999899,0.01770000000000005,0.028000000000000025,0.4025521458411369,0.6604821114114707,0.2658784912383724,0.3126784912383725,True
0.8,0.000500000000000056,0.005800000000000027,0.01640000000000008,0.03700000000000003,0.10502318071858421,0.655988200848449,0.06889396736696558,0.1280939673669657,True
0.95,0.00029999999999996696,0.024700000000000055,0.0026000000000000467,0.02100000000000002,0.00542705310591319,0.5577446138704754,0.003026909639012116,0.051326909639012236,True
1.1,0.0009000000000000119,0.028200000000000003,0.008900000000000019,0.008000000000000007,0.018308536559440917,0.5100110347840432,0.009337555676061949,0.054437555676061976,True
1.25,0.00539999999999996,0.02529999999999999,0.010299999999999976,0.006000000000000005,0.10391837452724621,0.5653775394806022,0.058753114897038154,0.10035311489703813,True
1.4,0.0008000000000000229,0.0049000000000000155,0.010500000000000065,0.030000000000000027,0.23945252054985056,0.6353577048214689,0.15213800387026866,0.19753800387026876,True
1.55,0.00019999999999997797,0.020199999999999996,0.0028000000000000247,0.04400000000000004,0.41299489054057403,0.45860571858392557,0.18940181854784963,0.2564018185478497,True
1.7,0.0008999999999999009,0.008600000000000052,0.0010999999999999899,0.04500000000000004,0.6590731738405866,0.5399022008418155,0.3558350570723332,0.4105350570723333,True
1.8499999999999999,0.008099999999999996,0.00039999999999995595,0.0010000000000000009,0.04700000000000004,0.935610289196486,0.5759758031045643,0.5388888877128397,0.5872888877128397,True
2.0,0.000300000000000078,0.021700000000000053,0.024899999999999922,0.039000000000000035,1.2352938753587122,0.4468458759605911,0.551985973803417,0.637585973803417,True
