alpha,delta_r,bound_1,lipschitz_b2_max,bound_2_max,lipschitz_b2_99pct,bound_2_99pct,bound_holds
0.0,0.0014000000000000679,0.015599999999999982,0.6635874486111507,0.05195429872568762,0.5857464987596775,0.05195429872568762,True
0.3,0.0023000000000000798,0.1933232382090464,0.7257659230370443,0.19459812970514606,0.6664525152774973,0.18392171630842738,True
0.6,0.0046000000000000485,0.5688157644662474,0.525127066768032,0.4737855091629344,0.4984472416782083,0.45457603509826083,True
0.8999999999999999,0.005900000000000016,1.1305800532539942,0.6227274547188406,1.045378372831474,0.558190141652841,0.9408279256645565,True
1.2,0.0011999999999999789,1.8510083386638867,0.6284349433707022,1.8781465098808696,0.5538529780910215,1.6633504498753848,True
1.5,0.00039999999999995595,3.5882610612735637,0.5124962170015062,2.3765727192114827,0.4640889346343749,2.158739948559388,True
1.7999999999999998,0.010499999999999954,5.092526661110175,0.566245129624831,3.7394505109339273,0.5331139498799331,3.524760466186993,True
2.1,0.038900000000000046,7.835997646677528,0.6408977436409096,5.77668395313488,0.5476463588000589,4.954206738838572,True
2.4,0.0045999999999999375,8.501968697740141,0.6742788802742373,7.894655638584739,0.6172602072215216,7.23780052501744,True
2.6999999999999997,0.0047000000000000375,10.234006311022863,0.6163856237732939,9.15927627371891,0.5600553295750198,8.337980584308069,True
3.0,0.0048000000000000265,12.367929134312835,0.6452608296377806,11.671900612118035,0.5697915660594397,10.313453867707874,True
