alpha,delta_r,g_q,g_q_tilde,d_q_q_tilde,w1_dist,lipschitz,shift_penalty,bound,bound_holds
0.0,0.00010000000000010001,0.054400000000000004,0.010600000000000054,0.062000000000000055,4.38399316848859e-17,0.6710807851540705,2.942013577619404e-17,0.12700000000000014,True
0.3,0.00019999999999997797,0.007399999999999962,0.00880000000000003,0.0010000000000000009,0.1800000000000035,0.656097928468472,0.11809762712432725,0.13529762712432725,True
0.6,0.0021999999999999797,0.0131,0.010399999999999965,0.016000000000000014,0.7200000000000153,0.7083376861429047,0.5100031340229022,0.5495031340229022,True
0.8999999999999999,9.999999999998899e-05,0.01090000000000002,0.010800000000000032,0.018000000000000016,1.619999999999971,0.6376907365444663,1.0330589932020169,1.072758993202017,True
1.2,0.0009000000000000119,0.019299999999999984,0.0021999999999999797,0.027000000000000024,2.8800000000000616,0.635920829840132,1.8314519899396193,1.8799519899396193,True
1.5,0.0029000000000000137,0.008600000000000052,0.008000000000000007,0.019000000000000017,4.500000000000078,0.6691311403763609,3.0110901316936762,3.0466901316936763,True
1.7999999999999998,0.0006999999999999229,0.013500000000000068,0.0022999999999999687,0.01200000000000001,6.479999999999884,0.6998670993881712,4.535138804035268,4.562938804035268,True
2.1,0.0010999999999999899,0.007399999999999962,0.012399999999999967,0.017000000000000015,8.820000000000046,0.7429949763058211,6.553215691017376,6.590015691017376,True
2.4,0.0020000000000000018,0.015199999999999991,0.0038000000000000256,0.0030000000000000027,11.520000000000246,0.6961000416237961,8.019072479506303,8.041072479506303,True
2.6999999999999997,0.008099999999999996,0.015199999999999991,0.00990000000000002,0.026000000000000023,14.580000000000114,0.7392689966904353,10.77854197174663,10.82964197174663,True
3.0,0.007000000000000006,0.014399999999999968,0.0393,0.019000000000000017,18.000000000000313,0.5654357804327275,10.177844047789272,10.25054404778927,True
