alpha,delta_r,g_q,g_q_tilde,w1_dist,lipschitz_loss,empirical_shift,output_distance,tighter_bound,bound_holds
0.0,0.0015999999999999348,0.028299999999999992,0.020100000000000007,4.425626531912033e-17,0.7612612610112665,3.369058034448272e-17,0.053184195391622155,0.1015841953916222,True
0.3,0.0016999999999999238,0.014499999999999957,0.0039000000000000146,0.18000000000000346,0.6654974368520225,0.11978953863336635,0.030584575375220135,0.16877411400858644,True
0.6,0.006199999999999983,0.007299999999999973,0.014499999999999957,0.7200000000000153,0.5363601760095512,0.3861793267268851,0.03693535357221959,0.44491468029910464,True
0.8999999999999999,0.0033000000000000806,0.01739999999999997,0.0262,1.619999999999971,0.7513481479576958,1.2171839996914453,0.04316964409927797,1.303953643790723,True
1.2,0.00539999999999996,0.029299999999999993,0.01419999999999999,2.8800000000000616,0.7552403911160716,2.1750923264143327,0.07215663013111928,2.290748956545452,True
1.5,0.0023999999999999577,0.0016000000000000458,0.006099999999999994,4.500000000000078,0.6234883088312769,2.805697389740795,0.052640889555869035,2.8660382792966645,True
1.7999999999999998,0.021100000000000008,0.01200000000000001,0.015100000000000002,6.479999999999884,0.6389032783591608,4.140093243767288,0.13268690386683482,4.2998801476341235,True
2.1,0.03820000000000001,0.02400000000000002,0.014000000000000012,8.820000000000046,0.5506380822546086,4.856627885485674,0.06987742684799376,4.964505312333667,True
2.4,0.01859999999999995,0.0036000000000000476,0.01860000000000006,11.520000000000246,0.7614596675207863,8.772015369839647,0.05984774219008391,8.85406311202973,True
2.6999999999999997,0.04189999999999994,0.0021999999999999797,0.015100000000000002,14.580000000000114,0.5165999464929724,7.5320272198675955,0.1225000722555332,7.671827292123129,True
3.0,0.0030000000000000027,0.007199999999999984,0.0012999999999999678,18.000000000000313,0.6533308390929897,11.759955103674018,0.009979415274792987,11.778434518948812,True
