alpha,delta_r,g_q,g_q_tilde,gw_dist,gw_bound,bound_holds
0.0,0.007699999999999929,0.00550000000000006,0.020100000000000007,0.017590544554817684,0.04319054455481775,True
0.3,0.0050000000000000044,0.026700000000000057,0.024399999999999977,0.013763201072008313,0.06486320107200835,True
0.6,0.012600000000000056,0.03860000000000008,0.017000000000000015,0.00098011978340707,0.056580119783407164,True
0.8999999999999999,0.007399999999999962,0.032400000000000095,0.029100000000000015,0.003353001612085557,0.06485300161208567,True
1.2,0.010499999999999954,0.04380000000000006,0.06410000000000005,0.006618286219394726,0.11451828621939483,True
1.5,0.0006000000000000449,0.031000000000000028,0.0736,0.0031870374338668905,0.10778703743386692,True
1.7999999999999998,0.11040000000000005,0.005700000000000038,0.0033999999999999586,0.007496168068869208,0.016596168068869203,False
2.1,0.019600000000000062,0.023600000000000065,0.04810000000000003,0.07443099291917656,0.14613099291917664,True
2.4,0.007500000000000062,0.02429999999999999,0.10250000000000004,0.07780907533361295,0.20460907533361297,True
2.6999999999999997,0.01759999999999995,0.010500000000000065,0.047700000000000076,0.010797046721726301,0.06899704672172643,True
3.0,0.04069999999999996,0.029900000000000038,0.00880000000000003,0.0045728148030260395,0.04327281480302611,True
