alpha,delta_r,g_q,g_q_tilde,D_Q,empirical_mmd,error_term,mmd_bound_with_error,bound_holds
0.0,0.0027000000000000357,0.013000000000000012,0.030100000000000016,0.02100000000000002,0.0,0.03162277660168379,0.09572277660168384,True
0.3,0.0007000000000000339,0.015700000000000047,0.016700000000000048,0.014000000000000012,0.11832620641480049,0.03162277660168379,0.1963489830164844,True
0.6,0.0016999999999999238,0.00880000000000003,0.010000000000000009,0.008000000000000007,0.2346520865636138,0.03162277660168379,0.2930748631652976,True
0.8999999999999999,0.0040999999999999925,0.0131,0.053100000000000036,0.05700000000000005,0.33744366478221977,0.03162277660168379,0.49226644138390363,True
1.2,0.0045000000000000595,0.007000000000000006,0.0018000000000000238,0.015000000000000013,0.4287085386628431,0.03162277660168379,0.4841313152645269,True
1.5,0.010499999999999954,0.0050000000000000044,0.011600000000000055,0.0,0.48799193138105207,0.03162277660168379,0.5362147079827358,True
1.7999999999999998,0.0010999999999999899,0.009299999999999975,0.03290000000000004,0.02400000000000002,0.5352572845477537,0.03162277660168379,0.6330800611494375,True
2.1,0.0010999999999999899,0.009000000000000008,0.00039999999999995595,0.01100000000000001,0.5853451858030742,0.03162277660168379,0.6373679624047579,True
2.4,0.03300000000000003,0.010700000000000043,0.0017000000000000348,0.0050000000000000044,0.6090635070538714,0.03162277660168379,0.6580862836555552,True
2.6999999999999997,0.014000000000000012,0.027900000000000036,0.025700000000000056,0.006000000000000005,0.6301893358468023,0.03162277660168379,0.7214121124484861,True
3.0,0.00039999999999995595,0.0010999999999999899,0.0010000000000000009,0.0,0.6096314359092629,0.03162277660168379,0.6433542125109467,True
