gamma,delta_r,mmd_dist,mmd_bound,bound_holds
0.0018544284279243416,0.0014999999999999458,0.1279943124189435,0.19611708902062736,True
0.004658113606308793,0.00660000000000005,0.1999822733778176,0.24710504997950133,True
0.01170065236411722,0.005099999999999993,0.3061372973394405,0.39276007394112433,True
0.02939070991323655,0.0032999999999999696,0.44318824104801485,0.4885110176496987,True
0.07382612544349297,0.0010999999999999899,0.5819853410195374,0.6524081176212212,True
0.18544284279243414,0.0019999999999998908,0.6814317615647006,0.7387545381663844,True
0.46581136063087986,0.0027000000000000357,0.6126487230134781,0.6851714996151619,True
1.1700652364117226,0.0027000000000000357,0.4515356054649306,0.5631583820666145,True
2.939070991323655,0.0026000000000000467,0.32741132644149634,0.3785341030431802,True
7.382612544349297,0.0017000000000000348,0.20434861064195037,0.30437138724363416,True
18.544284279243413,0.0013999999999999568,0.14589963827805674,0.2627224148797406,True
