alpha,delta_r,h_divergence,lambda,h_div_bound,bound_holds
0.0,0.0021999999999999797,0.2333333333333334,0.24840000000000007,0.6770666666666668,True
0.2,0.0009000000000000119,0.7533333333333334,0.2459,0.9281333333333334,True
0.4,0.0027999999999999137,1.3026666666666666,0.28559999999999997,1.3419666666666665,True
0.6000000000000001,0.0012000000000000899,1.4146666666666667,0.2522,1.2259,True
0.8,0.01660000000000006,1.8666666666666667,0.22199999999999998,1.3851,True
1.0,0.035499999999999976,1.7733333333333334,0.25649999999999995,1.4966,True
1.2000000000000002,0.025900000000000034,1.7786666666666666,0.2834,1.4558,True
1.4000000000000001,0.025800000000000045,1.8666666666666667,0.16679999999999995,1.2900999999999998,True
1.6,0.010699999999999932,1.6986666666666665,0.23960000000000004,1.3755666666666666,True
1.8,0.06180000000000008,1.5533333333333332,0.37160000000000004,1.4951666666666665,True
2.0,0.08130000000000004,1.7306666666666666,0.30990000000000006,1.5498333333333334,True
